Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/products/,"CatchResponseError(""request failed before HTTP response: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",1,2026-05-28T09:28:33Z,2026-05-28T09:28:33Z
GET,GET /api/products/?page={page}&page_size={page_size},"CatchResponseError(""request failed before HTTP response: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",1,2026-05-28T09:28:39Z,2026-05-28T09:28:39Z
