Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/{id},1852,0,290,298.19203849514054,262.20528100000706,556.4794609999808,246.89308855291577,8.875944229242851,0.0,290,300,310,320,340,360,390,420,520,560,560
GET,GET /api/products/,2077,18,290,308.666663610014,261.07558100000006,1378.6377130000033,3481.563793933558,9.954285185819332,0.08626727652611842,290,300,310,320,340,370,550,700,1300,1400,1400
GET,GET /api/products/?in_stock={value},344,0,290,299.21830813081385,263.3688100000029,638.6918390000034,1946.9011627906978,1.6486635069435964,0.0,290,300,310,320,340,360,400,400,640,640,640
GET,GET /api/products/?min_price={min_price}&max_price={max_price},351,0,290,298.84637619658145,263.2539469999955,847.7895130000022,2239.091168091168,1.6822118922593092,0.0,290,300,310,310,330,360,380,450,850,850,850
GET,GET /api/products/?page={page},377,0,290,299.27024518567583,262.7453010000238,558.2358639999967,2653.7984084880636,1.8068201805748136,0.0,290,300,310,320,340,370,410,430,560,560,560
GET,GET /api/products/?page={page}&page_size={page_size},475,11,290,328.2199959810524,264.0785220000055,1247.4600799999962,2261.237894736842,2.2764975749947918,0.052718891210405704,290,300,320,330,370,560,1000,1200,1200,1200,1200
GET,GET /api/products/?search={keyword},355,0,290,299.3466912647884,262.399065000011,605.2641310000126,56.0,1.7013823981540022,0.0,290,300,310,320,330,340,380,420,610,610,610
GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},345,0,290,299.9573502579715,262.69082100000674,450.9590239999852,91.19130434782609,1.6534561334172697,0.0,290,300,310,320,340,360,380,400,450,450,450
GET,GET /api/products/?sort_by=price&sort_order=asc,414,11,290,326.2025792463765,261.18933300000435,1251.768324000011,3319.3961352657007,1.9841473601007238,0.052718891210405704,290,300,310,320,340,430,1200,1200,1300,1300,1300
GET,GET /api/products/?sort_by=price&sort_order=desc,344,0,290,297.7984660000003,263.8859749999938,572.7616560000115,3453.0,1.6486635069435964,0.0,290,300,310,320,330,350,380,430,570,570,570
GET,GET /api/products/{id},824,0,290,299.2391269696607,260.9343520000209,550.9496660000011,170.58616504854368,3.9491242143067544,0.0,290,300,310,320,340,360,390,440,550,550,550
POST,POST /api/orders/,1857,0,300,306.89280704577277,270.20181400001775,574.5977270000039,98.60796984383414,8.899907361611216,0.0,300,310,320,330,350,370,410,450,570,570,570
,Aggregated,9615,40,290,305.10917907810614,260.9343520000209,1378.6377130000033,1472.2579303172126,46.081103544368254,0.19170505894692982,290,300,310,320,340,370,430,560,1200,1400,1400
