Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/{id},185,0,290,305.4775340756754,222.0795570000007,477.83048199999456,242.97837837837838,2.7309598969503655,0.0,290,320,350,360,410,430,450,470,480,480,480
GET,GET /api/products/,220,3,280,315.6196137681815,225.9074680000026,1266.6502839999935,3464.109090909091,3.247627985562597,0.04428583616676268,280,310,340,360,400,480,620,1000,1300,1300,1300
GET,GET /api/products/?in_stock={value},42,0,280,300.3128768571435,224.11972299998695,572.6778419999973,2403.1428571428573,0.6200017063346775,0.0,290,310,340,350,380,390,570,570,570,570,570
GET,GET /api/products/?min_price={min_price}&max_price={max_price},38,0,280,293.021597105263,227.4953499999981,392.70960700000046,2340.6052631578946,0.560953924778994,0.0,300,320,320,330,350,390,390,390,390,390,390
GET,GET /api/products/?page={page},34,0,280,298.26066482353,230.43153500000813,437.251056000008,2977.0882352941176,0.5019061432233104,0.0,290,300,350,360,390,400,440,440,440,440,440
GET,GET /api/products/?page={page}&page_size={page_size},46,2,270,328.25728700000053,228.3166480000034,1245.4539109999985,2316.891304347826,0.6790494878903611,0.029523890777841788,270,300,330,330,410,640,1200,1200,1200,1200,1200
GET,GET /api/products/?search={keyword},37,0,310,319.42971805405375,226.19291399999497,467.13580099999774,56.0,0.5461919793900731,0.0,310,360,380,390,420,430,470,470,470,470,470
GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},36,0,260,305.9932257777775,226.5930629999957,813.3490479999991,94.0,0.5314300340011522,0.0,260,300,340,340,430,470,810,810,810,810,810
GET,GET /api/products/?sort_by=price&sort_order=asc,43,1,290,309.3966376744174,226.22520599999518,1047.9894220000006,3330.6976744186045,0.6347636517235985,0.014761945388920894,290,310,320,340,370,420,1000,1000,1000,1000,1000
GET,GET /api/products/?sort_by=price&sort_order=desc,34,0,290,302.91577785294226,228.92671099999973,430.7607380000036,3453.0,0.5019061432233104,0.0,290,310,340,370,370,410,430,430,430,430,430
GET,GET /api/products/{id},86,0,280,297.3448418837213,222.6358409999989,486.7623800000018,170.4418604651163,1.269527303447197,0.0,280,310,330,340,380,400,430,490,490,490,490
POST,POST /api/orders/,204,0,290,312.8610623431376,234.8699019999998,502.112486999998,99.04411764705883,3.0114368593398626,0.0,290,320,340,370,420,430,470,480,500,500,500
,Aggregated,1005,6,290,309.22535207960215,222.0795570000007,1266.6502839999935,1498.1781094527364,14.8357551158655,0.08857167233352536,290,320,340,360,400,430,480,600,1200,1300,1300
