Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/{id},172,0,300,323.41928986046463,237.31478899998137,507.5230779999913,252.9825581395349,2.5377282299864836,0.0,300,340,370,380,440,460,470,500,510,510,510
GET,GET /api/products/,208,2,290,322.5021489230766,237.3898419999989,1109.5512270000256,3478.230769230769,3.068880650216213,0.029508467790540508,300,320,340,360,430,450,720,950,1100,1100,1100
GET,GET /api/products/?in_stock={value},43,0,280,297.17849083721023,241.19804599999384,463.15054899997676,1701.2325581395348,0.6344320574966209,0.0,280,310,320,320,380,390,460,460,460,460,460
GET,GET /api/products/?min_price={min_price}&max_price={max_price},34,0,300,302.6074120000004,240.87821099999474,458.9143160000049,2195.9411764705883,0.5016439524391887,0.0,300,330,340,340,360,390,460,460,460,460,460
GET,GET /api/products/?page={page},31,0,300,338.7835268387126,243.36864600002173,948.0846030000123,2338.4193548387098,0.4573812507533779,0.0,300,330,360,360,420,470,950,950,950,950,950
GET,GET /api/products/?page={page}&page_size={page_size},52,2,300,366.7992072115402,240.30068499999402,1326.463394000001,2784.5,0.7672201625540532,0.029508467790540508,300,330,360,420,570,870,970,1300,1300,1300,1300
GET,GET /api/products/?search={keyword},33,0,300,299.81997372727307,238.48988700001428,441.14948200001436,56.0,0.4868897185439184,0.0,300,320,320,340,360,400,440,440,440,440,440
GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},35,0,300,310.7698276285718,246.46618899998884,508.07830400000853,95.08571428571429,0.5163981863344589,0.0,300,320,330,350,380,390,510,510,510,510,510
GET,GET /api/products/?sort_by=price&sort_order=asc,46,0,290,316.63010297826276,238.75693900001238,606.0012549999954,3410.0,0.6786947591824317,0.0,290,310,340,340,410,470,610,610,610,610,610
GET,GET /api/products/?sort_by=price&sort_order=desc,39,0,310,315.68159641025846,245.49344799999062,527.8954530000135,3453.0,0.5754151219155399,0.0,310,330,340,340,370,470,530,530,530,530,530
GET,GET /api/products/{id},71,0,290,318.0065577464796,236.59212100000104,504.7006030000034,170.1267605633803,1.047550606564188,0.0,290,330,350,370,440,460,470,500,500,500,500
POST,POST /api/orders/,198,0,320,335.0217194393937,250.30071200001203,521.7259279999951,99.14141414141415,2.9213383112635105,0.0,320,350,380,400,460,460,470,500,520,520,520
,Aggregated,962,4,300,324.23292744178843,236.59212100000104,1326.463394000001,1518.1881496881497,14.193573007249984,0.059016935581081016,300,330,350,370,440,460,510,610,1300,1300,1300
