"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2176","test_create_order_rejects_nonexistent_product","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1513","test_create_order_rejects_invalid_quantity","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3327","test_pagination_beyond_available_product_pages_returns_empty_page_safely","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1736","test_update_product_updates_persisted_record","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","2607","test_mark_order_ready_to_ship","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","905","test_get_nonexistent_order_returns_404","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","436","test_health_endpoint_returns_ok","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","648","test_delete_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_products","",""
"","1767","test_create_order_rejects_duplicate_product_ids","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2604","test_mark_order_as_shipped","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","649","test_pay_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","5276","test_full_order_lifecycle_writes_complete_outbox_event_sequence","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
