Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/{id},187,0,290,306.97754292513395,225.7446659999971,480.23746100000153,254.09625668449198,2.7440482198848963,0.0,290,320,350,360,410,440,440,480,480,480,480
GET,GET /api/products/,217,4,290,325.65515123041416,226.726057999997,1203.9533840000017,3475.7281105990783,3.184269859438623,0.05869621860716356,290,320,340,350,410,510,880,1000,1200,1200,1200
GET,GET /api/products/?in_stock={value},30,0,280,291.4909449333338,230.43413800000678,492.5415429999944,2417.2,0.4402216395537267,0.0,280,300,330,340,360,370,490,490,490,490,490
GET,GET /api/products/?min_price={min_price}&max_price={max_price},25,0,290,299.63288919999854,228.46229300000687,424.7233889999933,2279.12,0.3668513662947722,0.0,290,320,330,340,350,410,420,420,420,420,420
GET,GET /api/products/?page={page},37,0,290,297.81537835135197,231.30138799999855,418.1526980000001,3405.4324324324325,0.5429400221162629,0.0,290,320,330,350,370,410,420,420,420,420,420
GET,GET /api/products/?page={page}&page_size={page_size},40,3,300,417.19855137499843,230.8104439999994,1255.226338,2097.375,0.5869621860716355,0.044022163955372666,300,340,380,610,860,1200,1300,1300,1300,1300,1300
GET,GET /api/products/?search={keyword},40,0,310,324.37293537499914,230.95672600000228,445.85499699999787,56.0,0.5869621860716355,0.0,320,340,360,370,420,440,450,450,450,450,450
GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},30,0,300,302.1869964666666,232.50619199998823,466.8311320000029,73.1,0.4402216395537267,0.0,300,310,330,340,370,420,470,470,470,470,470
GET,GET /api/products/?sort_by=price&sort_order=asc,54,2,290,352.20050624073855,230.26884399999403,1280.2741239999875,3247.1111111111113,0.792398951196708,0.02934810930358178,300,320,360,390,450,680,1100,1300,1300,1300,1300
GET,GET /api/products/?sort_by=price&sort_order=desc,36,0,290,305.48326116666664,230.88059799999883,460.21945599999725,3454.0,0.528265967464472,0.0,290,320,330,340,380,440,460,460,460,460,460
GET,GET /api/products/{id},92,0,300,315.3171494782599,225.8027069999997,490.0201239999973,171.15217391304347,1.3500130279647617,0.0,310,330,360,400,440,440,460,490,490,490,490
POST,POST /api/orders/,196,0,300,317.285009295918,235.4785349999986,509.30045200000507,99.16836734693878,2.8761147117510144,0.0,300,330,360,380,430,440,480,500,510,510,510
,Aggregated,984,9,290,320.39473739634127,225.7446659999971,1280.2741239999875,1504.5152439024391,14.439269777362234,0.132066491866118,290,330,350,360,420,440,610,880,1300,1300,1300
