Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET /api/products/,"CatchResponseError(""request failed before HTTP response: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",4,2026-05-28T10:12:22Z,2026-05-28T10:13:13Z
GET,GET /api/products/?sort_by=price&sort_order=asc,"CatchResponseError(""request failed before HTTP response: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",2,2026-05-28T10:12:33Z,2026-05-28T10:12:41Z
GET,GET /api/products/?page={page}&page_size={page_size},"CatchResponseError(""request failed before HTTP response: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"")",3,2026-05-28T10:12:19Z,2026-05-28T10:13:09Z
