Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/{id},172,0,340,357.25418263372114,261.85707399999103,551.882802999998,250.63372093023256,2.501292166767866,0.0,340,370,400,430,490,510,520,550,550,550,550
GET,GET /api/products/,203,2,330,354.2276622709354,264.6692510000008,1083.9812649999913,3477.399014778325,2.9521064526388185,0.029084792636835652,330,360,380,390,450,510,720,860,1100,1100,1100
GET,GET /api/products/?in_stock={value},37,0,320,328.87048940540575,266.4546779999881,456.99411900000086,1829.1081081081081,0.5380686637814596,0.0,320,360,360,380,390,420,460,460,460,460,460
GET,GET /api/products/?min_price={min_price}&max_price={max_price},35,0,320,336.5798019142856,262.2396430000009,485.66907900000444,2579.4285714285716,0.508983871144624,0.0,320,340,380,400,470,480,490,490,490,490,490
GET,GET /api/products/?page={page},29,0,330,341.0152742758617,268.54660100001126,709.8046480000022,3112.9310344827586,0.42172949323411696,0.0,330,340,350,370,420,440,710,710,710,710,710
GET,GET /api/products/?page={page}&page_size={page_size},43,1,320,382.7643192558138,266.60825100000807,1171.725796000004,2814.2093023255816,0.6253230416919665,0.014542396318417826,320,360,410,420,650,690,1200,1200,1200,1200,1200
GET,GET /api/products/?search={keyword},31,0,320,330.5933553225808,266.3533099999995,405.06079200000045,56.0,0.4508142858709526,0.0,320,350,370,380,390,400,410,410,410,410,410
GET,GET /api/products/?search={keyword}&min_price={min_price}&max_price={max_price}&in_stock={value},25,0,310,327.42213263999986,267.76608600000174,457.2975269999944,97.04,0.3635599079604456,0.0,310,330,360,360,390,440,460,460,460,460,460
GET,GET /api/products/?sort_by=price&sort_order=asc,46,2,320,378.4709453260865,266.5654030000013,1100.9360710000067,3261.7391304347825,0.66895023064722,0.029084792636835652,330,340,380,390,520,680,1100,1100,1100,1100,1100
GET,GET /api/products/?sort_by=price&sort_order=desc,28,0,300,331.51841228571476,266.44649200000003,929.0735590000025,3453.0,0.40718709691569915,0.0,300,320,340,340,390,440,930,930,930,930,930
GET,GET /api/products/{id},87,0,330,359.82851001149425,261.06196299998885,556.7485150000025,171.17241379310346,1.265188479702351,0.0,330,370,410,430,500,510,550,560,560,560,560
POST,POST /api/orders/,183,0,340,359.2978790601098,271.8637810000075,589.5826510000006,99.09289617486338,2.661258526270462,0.0,340,370,400,420,490,510,550,550,590,590,590
,Aggregated,919,5,330,354.5543670402613,261.06196299998885,1171.725796000004,1525.7627856365614,13.364462216625983,0.07271198159208914,330,360,380,400,480,510,570,720,1200,1200,1200
