"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","880","test_update_product_updates_persisted_record","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2248","test_order_creation","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1594","test_create_order_rejects_duplicate_product_ids","tests.e2e","2026-05-28","failed","2026-05-28","","test_orders","",""
"","2571","test_order_details_endpoint_echoes_request_tracing_headers","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","221","test_product_name_is_trimmed_before_persistence","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","1828","test_request_id_propagation_on_order_creation","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","890","test_full_order_lifecycle_writes_complete_outbox_event_sequence","tests.e2e","2026-05-28","broken","2026-05-28","","test_orders","",""
"","221","test_create_product_rejects_blank_name[]","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2092","test_get_order_details_returns_created_order","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1375","test_create_order_rejects_empty_items","tests.e2e","2026-05-28","failed","2026-05-28","","test_orders","",""
"","685","test_pay_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2200","test_delete_product_rejects_product_referenced_by_order","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2943","test_pay_order_successfully","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","448","test_health_endpoint_returns_ok","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","1100","test_filter_products_with_in_stock_false","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","663","test_get_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2953","test_create_order_with_multiple_valid_products","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1758","test_delete_product_removes_unused_product","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2663","test_reject_invalid_order_status_transitions[OrderStatus.CREATED-shipped]","tests.e2e","2026-05-28","failed","2026-05-28","","test_orders","",""
"","2872","test_list_products_with_descending_sort","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2890","test_list_products_with_ascending_sort","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","223","test_get_nonexistent_product_returns_404","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","666","test_deliver_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","221","test_generated_request_id_is_returned_on_products_endpoint_when_omitted","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","1099","test_filter_products_with_in_stock_true","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","221","test_delete_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","221","test_create_product_rejects_blank_name[   ]","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","1978","test_pagination_beyond_available_product_pages_returns_empty_page_safely","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","664","test_health_endpoint_returns_request_tracing_headers","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","224","test_list_products_returns_paginated_payload","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","889","test_list_products_with_filters","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","221","test_reject_invalid_price_filter_range","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","222","test_update_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","223","test_create_product_persists_record","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","221","test_product_search_term_shorter_than_minimum_length_is_rejected","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","1625","test_create_order_calculates_total_price","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","3184","test_reject_invalid_order_status_transitions[OrderStatus.CREATED-ready-to-ship]","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1851","test_auto_generated_request_id_on_order_creation","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","223","test_get_product_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","888","test_create_product_rejects_duplicate_name","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2933","test_mark_order_as_delivered","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","1102","test_update_product_rejects_name_conflict","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2858","test_invalid_product_sort_field_falls_back_safely","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","1592","test_create_order_rejects_invalid_quantity","tests.e2e","2026-05-28","failed","2026-05-28","","test_orders","",""
"","1852","test_create_order_rejects_negative_quantity","tests.e2e","2026-05-28","failed","2026-05-28","","test_orders","",""
"","1789","test_create_order_rejects_nonexistent_product","tests.e2e","2026-05-28","failed","2026-05-28","","test_orders","",""
"","929","test_get_nonexistent_order_returns_404","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","880","test_update_product_rejects_blank_name[]","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","2935","test_mark_order_as_shipped","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2950","test_mark_order_ready_to_ship","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","881","test_update_product_rejects_blank_name[   ]","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","222","test_products_endpoint_echoes_request_tracing_headers","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","1367","test_failed_order_creation_leaves_no_partial_data","tests.e2e","2026-05-28","broken","2026-05-28","","test_orders","",""
"","880","test_get_product_returns_expected_product","tests.e2e","2026-05-28","broken","2026-05-28","","test_products","",""
"","665","test_ship_order_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","888","test_create_order_response_uses_taxed_pricing_while_order_details_uses_standard_pricing","tests.e2e","2026-05-28","broken","2026-05-28","","test_orders","",""
"","2757","test_invalid_order_transition_does_not_append_new_outbox_event","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","2445","test_reject_invalid_order_status_transitions[OrderStatus.READY_TO_SHIP-delivered]","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
"","663","test_generated_request_id_is_returned_on_health_endpoint_when_omitted","tests.e2e","2026-05-28","passed","2026-05-28","","test_health","",""
"","666","test_ready_to_ship_with_invalid_path_parameter_returns_422","tests.e2e","2026-05-28","passed","2026-05-28","","test_orders","",""
